CellID,N,Mean_gExc_Stat,Mean_gInh_Stat,gExc_Phase0,gInh_Phase0
Cell 1 (C),28,0.00654246,0.073434,0.0941486,0.269871
Cell 1 (V),38,0.0224674,0.0825706,0.0303005,1.25479
